"id","retoure_reason"
"10d53440-0c4a-c0a4-3611-524c16431cdb",10
"10d60f86-2103-6d5f-0e97-528a2cead0bd",10
"10d8bcba-3a68-cb0c-7f91-52616c2728c7",10
"10dbdec2-4ae3-125e-696b-52ceb17f6ffe",10
"10df9772-d65d-2e0a-9e9d-50af4247056e",46
"10e15e80-1080-120b-3a8a-525516b114ea",10
"10e37285-8282-f973-acbc-50ec7be7220e",34
"10e61864-9e71-ea5d-d962-5280d5bb895d",10
"10e6247a-ac8d-413f-a233-528f33490342",10
"10e63e46-0a6a-9c1b-8d0f-52935ab58ad0",10
"10e6e757-496c-f5c5-328a-52cae6332a99",10
"10e9d0d9-252b-4d41-0487-51993d0d8073",174
"10ea909e-8750-8847-d9ec-528b7deeb379",10
"10ec0b4b-7ed0-2914-72f0-5138f24bbc8d",47
"10ed078c-0121-2117-349a-50f9aa5ac3bf",14
"10eda9c8-141f-016a-9370-528b931a21e0",10
"10ee79b8-1fcc-70fb-560c-510acdb55d44",24
"10f000b9-7a7f-a15c-fc76-516d516780ed",67
"10f12da2-3cc8-925c-d233-517669b46b87",17
"10f197aa-e9da-7f13-dc10-50aa72f9cd3f",13
"10f22673-27ba-972e-073d-526513214769",83
"10f40024-d7ac-ac6c-dc46-5134fde6f999",157
"10f521f4-e5d4-214c-302c-5280fab9f53f",10
"10f7d8a5-d51d-b440-9aec-529c8ed0f3df",10
"10f8d4fb-5c2d-0691-b4ab-525d532e02d1",10
"10fc1d94-4d16-c106-7b97-524affe181d4",10
"10fcc8a0-7b42-9b3d-e64d-518c0f7b146d",34
"10fced6c-0d38-aac7-9067-528a4c5f257e",10
"11000e6d-5c7e-baf8-0bcd-51c01aabba34",15
"110154cf-96ed-b006-9365-52c5a37aaf9d",10
"110184de-3308-5983-97f1-5193b72b23fc",64
"1103cae9-1eb2-b9b3-bbb4-52d539f44c28",10
"1103d54a-4d64-d3e9-6c5e-5258283a9dfd",10
"110510dd-1f06-8704-9ae8-529732506ab0",10
"11097a7e-5e66-986d-dd90-51d544130bc1",34
"110e0692-0087-9149-4953-526f8867a427",10
"111008a9-7dc4-9962-4a0e-5284b96abbbe",10
"1110b1f6-8673-34fe-5db0-52ceb206adec",10
"11110a42-b6db-32d4-a3f3-51e95bd075de",67
"11140b0e-1704-6ba0-c996-51adc84c8cfd",16
"1114b246-f264-3b08-bc61-5277a3269b3f",10
"1115a512-1a62-1f5c-ba86-524147672941",10
"1118b575-c0e3-f16f-0140-52a8916b90b8",10
"111a1b76-b39a-3c8e-5f30-52977bb5a833",10
"111a4c56-fe5f-826f-a3b0-52850e57b18a",10
"111b2240-2da2-16bc-871f-528b36b0ecc6",10
"111e0559-39fd-181d-fb0b-52725eb7251d",10
"111eeef8-32a3-6f1c-0a60-529351fdc11f",10
"1122575a-9aa2-5099-a017-528deb875052",10
"11228743-edac-7c89-5d5a-52c67f6a5926",10
"11247493-620f-0b6b-e38f-51bed06608e5",14
"112495da-66e5-a3ca-7e19-52a1cfd40b61",10
"11252c4c-f86a-d0f8-97cb-528b7170fa84",10
"112556c1-4b49-5f76-ae96-5277a70ebfc6",10
"1126de48-372a-622d-9fff-518a13601da5",26
"1126ffe0-ca01-970b-da2e-51e3f526e0b3",28
"1128b5b5-7555-c914-d393-50aa6b7eadd9",76
"112ae62f-0716-78c0-ecde-5123dab2a16f",67
"112ba130-3b6e-bedc-7a94-52a9e2d910da",10
"112c052a-49dc-9c06-7eb1-527d246388a5",10
"112d8f58-e908-4eab-d710-525fc037913e",10
"112da226-ad77-2894-a690-52a70109e136",10
"112f317c-9759-868e-5f0c-52a98cb91eb8",10
"112fa0ee-b9f2-e3b6-4ec8-52a6dcfe2338",10
"112fcba1-0ba7-9cc7-1807-52a0852dd217",10
"11314c68-275b-7c77-cb96-528f2c1a8c1d",10
"113462e7-e197-6d81-0a89-525eaeccf436",10
"1134dd82-a1b4-96f5-3d14-50d0cbc57881",17
"11382f9b-8ccb-1f89-e8f8-51b0924d6eb0",41
"1139a26e-7f1c-d0b9-ac08-525d4b8dc681",10
"113b77d0-bfb5-b717-a543-52af35c2f450",10
"113bf51e-a4bd-19ed-083e-528f22673e9e",10
"113c3ab4-b182-504b-f0ca-515501917c47",431
"113ef414-2144-3506-520c-52a5f7ea46df",10
"113fa482-5956-9a9b-e207-528b4fee6c90",10
"1140182b-e2d0-3db4-f514-5298babc4a00",10
"114128e6-6ecb-20c5-4d42-5293872314a4",10
"1142aed6-45bb-a8d6-cc64-51f8e0f7e2c8",17
"1143f592-ad1d-a234-ca77-5267f6ae935c",10
"1144bec1-9956-5167-c342-52616de84ea2",10
"11489ca1-206f-2891-7b94-52669184e35d",10
"1149572e-b418-67f3-eadc-52ceabd6be6b",10
